"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10147","Open Window and Tab behavior","chrome","2026-06-20","passed","2026-06-20","AutomationPractice - Windows and Tabs","automation-practice\windows-tabs.spec.ts","",""
"","8036","Verify product table and specific row","chrome","2026-06-20","passed","2026-06-20","AutomationPractice - Web Table","automation-practice\webtable.spec.ts","",""
"","22164","Checkbox interactions","chrome","2026-06-20","passed","2026-06-20","AutomationPractice - Checkboxes","automation-practice\checkboxes.spec.ts","",""
"","2007","seed","chrome","2026-06-20","passed","2026-06-20","Test group","seed.spec.ts","",""
"","30943","Autocomplete suggestions and selection","chrome","2026-06-20","broken","2026-06-20","AutomationPractice - Autocomplete","automation-practice\autocomplete.spec.ts","",""
"","4167","Login - Happy Path","chrome","2026-06-20","failed","2026-06-20","","rahulshetty-login.spec.ts","",""
"","3298","Checkout - place order (best-effort)","chrome","2026-06-20","failed","2026-06-20","","rahulshetty-checkout.spec.js","",""
"","19437","Interact with courses iframe","chrome","2026-06-20","passed","2026-06-20","AutomationPractice - iFrame","automation-practice\iframe.spec.ts","",""
"","17501","Group ticket booking is NOT eligible for refund","chrome","2026-06-20","passed","2026-06-20","","cancelbooking.spec.js","",""
"","22212","Hide and show textbox behavior","chrome","2026-06-20","passed","2026-06-20","AutomationPractice - Hide/Show","automation-practice\hide-show.spec.ts","",""
"","30750","Login","chrome","2026-06-20","broken","2026-06-20","","Testcase1.spec.js","",""
"","8468","Radio button selection","chrome","2026-06-20","passed","2026-06-20","AutomationPractice - Radio","automation-practice\radio.spec.ts","",""
"","22210","Static dropdown selection","chrome","2026-06-20","passed","2026-06-20","AutomationPractice - Dropdown","automation-practice\dropdown.spec.ts","",""
"","12428","Single ticket booking is eligible for refund","chrome","2026-06-20","passed","2026-06-20","","cancelbooking.spec.js","",""
"","22278","Mouse hover menu and actions","chrome","2026-06-20","passed","2026-06-20","AutomationPractice - Mouse Hover","automation-practice\mousehover.spec.ts","",""
"","5662","Product - add first product to cart","chrome","2026-06-20","failed","2026-06-20","","rahulshetty-product.spec.js","",""
